iter	Passed	Remaining
0	10	2060
1	19	1944
2	28	1900
3	38	1867
4	47	1836
5	56	1812
6	64	1780
7	73	1765
8	81	1739
9	92	1759
10	101	1749
11	109	1718
12	119	1719
13	128	1705
14	137	1689
15	145	1674
16	155	1670
17	164	1662
18	174	1657
19	183	1649
20	192	1636
21	202	1637
22	213	1641
23	226	1659
24	239	1674
25	251	1683
26	261	1675
27	270	1661
28	279	1650
29	288	1636
30	300	1636
31	310	1629
32	319	1615
33	328	1602
34	337	1591
35	347	1583
36	356	1572
37	367	1565
38	376	1553
39	385	1542
40	395	1533
41	404	1521
42	415	1515
43	424	1506
44	433	1492
45	442	1481
46	452	1474
47	461	1461
48	470	1449
49	479	1438
50	491	1436
51	503	1431
52	513	1424
53	524	1417
54	534	1409
55	545	1403
56	558	1401
57	571	1398
58	586	1402
59	601	1402
60	616	1405
61	631	1406
62	661	1438
63	703	1495
64	724	1505
65	741	1504
66	756	1501
67	770	1495
68	784	1489
69	801	1487
70	813	1477
71	825	1467
72	839	1459
73	854	1455
74	868	1447
75	884	1442
76	900	1438
77	912	1427
78	925	1417
79	939	1409
80	952	1399
81	964	1387
82	976	1376
83	986	1362
84	996	1348
85	1006	1334
86	1016	1320
87	1028	1309
88	1038	1295
89	1049	1282
90	1058	1268
91	1068	1254
92	1078	1240
93	1088	1227
94	1097	1213
95	1107	1199
96	1119	1189
97	1130	1176
98	1140	1163
99	1149	1149
100	1159	1136
101	1169	1123
102	1179	1110
103	1189	1097
104	1199	1085
105	1209	1072
106	1220	1060
107	1232	1050
108	1241	1036
109	1250	1023
110	1260	1010
111	1269	997
112	1278	984
113	1289	972
114	1297	959
115	1305	945
116	1314	932
117	1324	920
118	1333	907
119	1342	895
120	1351	882
121	1362	870
122	1372	859
123	1382	847
124	1393	836
125	1403	824
126	1414	813
127	1424	801
128	1434	789
129	1443	777
130	1452	765
131	1462	753
132	1473	742
133	1483	730
134	1493	718
135	1502	706
136	1512	695
137	1522	683
138	1532	672
139	1541	660
140	1551	649
141	1561	637
142	1570	625
143	1579	614
144	1588	602
145	1598	591
146	1607	579
147	1616	567
148	1626	556
149	1634	544
150	1644	533
151	1654	522
152	1663	511
153	1672	499
154	1681	488
155	1692	477
156	1702	466
157	1721	457
158	1731	446
159	1744	436
160	1755	425
161	1766	414
162	1776	403
163	1785	391
164	1794	380
165	1804	369
166	1819	359
167	1832	349
168	1842	337
169	1858	327
170	1865	316
171	1872	304
172	1883	293
173	1893	282
174	1903	271
175	1914	261
176	1928	250
177	1940	239
178	1952	229
179	1961	217
180	1974	207
181	1985	196
182	1992	185
183	2003	174
184	2013	163
185	2025	152
186	2037	141
187	2047	130
188	2058	119
189	2069	108
190	2079	97
191	2091	87
192	2101	76
193	2112	65
194	2123	54
195	2133	43
196	2143	32
197	2150	21
198	2160	10
199	2169	0
